date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,european_aqi
2022-08-01,,,,,,,,,,,
2022-08-02,,,,,,,,,,,
2022-08-03,,,,,,,,,,,
2022-08-04,31.523809523809526,16.014285714285716,317.1904761904762,37.042857142857144,14.69047619047619,100.80952380952381,0.33904761904761904,28.0,2.6880952380952383,,
2022-08-05,29.65416666666667,15.5625,310.125,32.9125,19.325,95.45833333333333,0.29958333333333337,23.208333333333332,2.339583333333333,74.52380952380952,48.23809523809524
2022-08-06,22.854166666666668,12.15,232.0,26.395833333333332,16.708333333333332,103.16666666666667,0.2658333333333333,17.25,2.44375,67.41666666666667,45.541666666666664
2022-08-07,25.429166666666664,14.179166666666667,276.4583333333333,36.208333333333336,16.1375,84.83333333333333,0.305,16.958333333333332,2.464583333333333,59.791666666666664,42.541666666666664
2022-08-08,25.266666666666666,13.816666666666668,380.9583333333333,49.61666666666667,15.595833333333333,81.125,0.325,18.375,2.4125,64.125,46.208333333333336
2022-08-09,25.791666666666668,14.658333333333333,422.5833333333333,51.81666666666666,16.075,73.91666666666667,0.3433333333333333,16.958333333333332,2.3666666666666667,64.75,45.166666666666664
2022-08-10,28.275000000000002,15.604166666666666,478.25,55.35,20.458333333333332,77.20833333333333,0.34625,20.083333333333332,2.247916666666667,67.20833333333333,46.291666666666664
2022-08-11,26.191666666666666,15.154166666666667,410.8333333333333,52.020833333333336,20.370833333333334,82.04166666666667,0.30124999999999996,15.125,2.3312500000000003,68.41666666666667,47.0
2022-08-12,24.816666666666666,14.558333333333332,466.3333333333333,60.270833333333336,22.09583333333333,68.54166666666667,0.24416666666666667,12.583333333333334,2.4270833333333335,62.0,46.5
2022-08-13,25.712500000000002,16.245833333333334,722.5416666666666,77.16250000000001,35.516666666666666,67.5,0.19833333333333333,7.791666666666667,2.504166666666667,66.20833333333333,54.791666666666664
